runId,factor,factorLabel,x,runIndex,seed,ok,failureReason,phase,productionTurns,settlementTurns,successTurns,completionTurns,mutationTurns,preparedDishes,totalDishesRequired,redemptions,commonBasketSwaps,directExchanges,settlementSwaps,foodPieceSettlementSwaps,interactions,basketVelocity,directExchangeShare,settlementBurden,liquidityDepth,finalHoardingIndex,maxObservedHoardingIndex,scarcityPressureTotal,localScarcityEvents,localHoardingSkips,localDelayPasses,localBasketSkips
coordination_delay-x15-r003,coordination_delay,Coordination delay,0.15,3,economic-time:coordination_delay-x15-r003,true,,complete,148,64,212,212,384,24,24,144,48,48,19,19,539,2.528,0.417,0.035,6.084,0,2,0,0,0,12,0
coordination_delay-x15-r004,coordination_delay,Coordination delay,0.15,4,economic-time:coordination_delay-x15-r004,true,,complete,163,48,211,211,378,24,24,144,37,52,17,17,530,2.047,0.491,0.032,6.214,0,2,0,0,0,17,0
coordination_delay-x15-r005,coordination_delay,Coordination delay,0.15,5,economic-time:coordination_delay-x15-r005,true,,complete,159,54,213,213,373,24,24,144,43,46,16,16,529,2.216,0.438,0.03,6.48,0,3,0,0,0,7,0
coordination_delay-x15-r006,coordination_delay,Coordination delay,0.15,6,economic-time:coordination_delay-x15-r006,true,,complete,154,64,218,218,385,24,24,144,54,43,18,18,539,2.642,0.374,0.033,5.92,0,2,0,0,0,11,0
coordination_delay-x15-r007,coordination_delay,Coordination delay,0.15,7,economic-time:coordination_delay-x15-r007,true,,complete,167,45,212,212,374,24,24,144,46,44,19,19,533,2.453,0.404,0.036,6.333,0,2,0,0,0,14,0
coordination_delay-x15-r008,coordination_delay,Coordination delay,0.15,8,economic-time:coordination_delay-x15-r008,true,,complete,189,72,261,261,435,24,24,144,30,58,19,19,531,1.502,0.542,0.036,6.246,0,3,0,0,0,13,0
coordination_delay-x15-r009,coordination_delay,Coordination delay,0.15,9,economic-time:coordination_delay-x15-r009,true,,complete,149,43,192,192,355,24,24,144,35,52,15,15,526,2.083,0.51,0.029,5.667,0,3,0,0,0,8,0
coordination_delay-x15-r010,coordination_delay,Coordination delay,0.15,10,economic-time:coordination_delay-x15-r010,true,,complete,148,59,207,207,372,24,24,144,55,43,15,15,537,2.705,0.381,0.028,6.198,0,3,0,0,0,11,0
coordination_delay-x15-r011,coordination_delay,Coordination delay,0.15,11,economic-time:coordination_delay-x15-r011,true,,complete,180,72,252,252,427,24,24,144,30,57,22,22,533,1.651,0.523,0.041,6.662,0,3,0,0,0,12,0
coordination_delay-x15-r012,coordination_delay,Coordination delay,0.15,12,economic-time:coordination_delay-x15-r012,true,,complete,175,56,231,231,395,24,24,144,43,47,18,18,532,2.113,0.435,0.034,6.312,0,3,0,0,0,16,0
coordination_delay-x20-r001,coordination_delay,Coordination delay,0.2,1,economic-time:coordination_delay-x20-r001,true,,complete,173,72,245,245,423,24,24,144,48,48,25,25,545,2.384,0.397,0.046,6.315,0,3,0,0,0,22,0
coordination_delay-x20-r002,coordination_delay,Coordination delay,0.2,2,economic-time:coordination_delay-x20-r002,true,,complete,166,79,245,245,421,24,24,144,43,52,20,20,539,2.057,0.452,0.037,5.975,0,3,0,0,0,24,0
coordination_delay-x20-r003,coordination_delay,Coordination delay,0.2,3,economic-time:coordination_delay-x20-r003,true,,complete,170,64,234,234,404,24,24,144,44,51,15,15,534,2.017,0.464,0.028,6.453,0,3,0,0,0,23,0
coordination_delay-x20-r004,coordination_delay,Coordination delay,0.2,4,economic-time:coordination_delay-x20-r004,true,,complete,151,55,206,206,378,24,24,144,44,50,19,19,537,2.447,0.442,0.035,6.19,0,3,0,0,0,14,0
coordination_delay-x20-r005,coordination_delay,Coordination delay,0.2,5,economic-time:coordination_delay-x20-r005,true,,complete,175,64,239,239,429,24,24,144,45,57,22,22,548,2.243,0.46,0.04,6.976,0,3,0,0,0,29,0
coordination_delay-x20-r006,coordination_delay,Coordination delay,0.2,6,economic-time:coordination_delay-x20-r006,true,,complete,148,53,201,201,371,24,24,144,62,42,15,15,543,3.065,0.353,0.028,6.323,0,2,0,0,0,17,0
coordination_delay-x20-r007,coordination_delay,Coordination delay,0.2,7,economic-time:coordination_delay-x20-r007,true,,complete,150,69,219,219,388,24,24,144,40,51,18,18,533,2.119,0.468,0.034,6.149,0,3,0,0,0,17,0
coordination_delay-x20-r008,coordination_delay,Coordination delay,0.2,8,economic-time:coordination_delay-x20-r008,true,,complete,143,68,211,211,387,24,24,144,37,53,24,24,538,2.313,0.465,0.045,6.234,0,3,0,0,0,18,0
coordination_delay-x20-r009,coordination_delay,Coordination delay,0.2,9,economic-time:coordination_delay-x20-r009,true,,complete,162,56,218,218,385,24,24,144,44,49,16,16,533,2.202,0.45,0.03,6.276,0,3,0,0,0,16,0
coordination_delay-x20-r010,coordination_delay,Coordination delay,0.2,10,economic-time:coordination_delay-x20-r010,true,,complete,164,47,211,211,380,24,24,144,40,51,18,18,533,2.199,0.468,0.034,6.595,0,2,0,0,0,15,0
coordination_delay-x20-r011,coordination_delay,Coordination delay,0.2,11,economic-time:coordination_delay-x20-r011,true,,complete,144,57,201,201,368,24,24,144,53,45,15,15,537,2.706,0.398,0.028,6.202,0,3,0,0,0,23,0
coordination_delay-x20-r012,coordination_delay,Coordination delay,0.2,12,economic-time:coordination_delay-x20-r012,true,,complete,178,71,249,249,428,24,24,144,41,53,23,23,541,2.056,0.453,0.043,6.65,0,3,0,0,0,19,0
coordination_delay-x25-r001,coordination_delay,Coordination delay,0.25,1,economic-time:coordination_delay-x25-r001,true,,complete,165,71,236,236,391,24,24,144,47,39,21,21,531,2.305,0.364,0.04,6.095,0,2,0,0,0,26,0
coordination_delay-x25-r002,coordination_delay,Coordination delay,0.25,2,economic-time:coordination_delay-x25-r002,true,,complete,180,64,244,244,419,24,24,144,38,56,16,16,534,1.77,0.509,0.03,6.557,0,3,0,0,0,19,0
coordination_delay-x25-r003,coordination_delay,Coordination delay,0.25,3,economic-time:coordination_delay-x25-r003,true,,complete,161,49,210,210,371,24,24,144,36,49,18,18,527,2.057,0.476,0.034,6.357,0,2,0,0,0,20,0
coordination_delay-x25-r004,coordination_delay,Coordination delay,0.25,4,economic-time:coordination_delay-x25-r004,true,,complete,158,45,203,203,364,24,24,144,44,48,12,12,528,2.207,0.462,0.023,6,0,2,0,0,0,17,0
coordination_delay-x25-r005,coordination_delay,Coordination delay,0.25,5,economic-time:coordination_delay-x25-r005,true,,complete,202,72,274,274,448,24,24,144,43,52,18,18,537,1.781,0.46,0.034,6.234,0,2,0,0,0,35,0
coordination_delay-x25-r006,coordination_delay,Coordination delay,0.25,6,economic-time:coordination_delay-x25-r006,true,,complete,172,52,224,224,388,24,24,144,45,48,14,14,531,2.107,0.449,0.026,6.093,0,2,0,0,0,19,0
coordination_delay-x25-r007,coordination_delay,Coordination delay,0.25,7,economic-time:coordination_delay-x25-r007,true,,complete,174,71,245,245,409,24,24,144,56,41,17,17,538,2.384,0.36,0.032,6.169,0,2,0,0,0,39,0
coordination_delay-x25-r008,coordination_delay,Coordination delay,0.25,8,economic-time:coordination_delay-x25-r008,true,,complete,174,88,262,262,433,24,24,144,39,53,17,17,533,1.71,0.486,0.032,6.125,0,3,0,0,0,27,0
coordination_delay-x25-r009,coordination_delay,Coordination delay,0.25,9,economic-time:coordination_delay-x25-r009,true,,complete,158,80,238,238,407,24,24,144,44,47,22,22,537,2.218,0.416,0.041,6.22,0,3,0,0,0,30,0
coordination_delay-x25-r010,coordination_delay,Coordination delay,0.25,10,economic-time:coordination_delay-x25-r010,true,,complete,149,60,209,209,375,24,24,144,40,50,17,17,531,2.182,0.467,0.032,6.151,0,3,0,0,0,23,0
coordination_delay-x25-r011,coordination_delay,Coordination delay,0.25,11,economic-time:coordination_delay-x25-r011,true,,complete,182,47,229,229,399,24,24,144,44,49,19,19,536,2.201,0.438,0.035,6.051,0,2,0,0,0,22,0
coordination_delay-x25-r012,coordination_delay,Coordination delay,0.25,12,economic-time:coordination_delay-x25-r012,true,,complete,146,56,202,202,378,24,24,144,57,47,16,16,544,2.891,0.392,0.029,5.82,0,2,0,0,0,18,0
coordination_delay-x30-r001,coordination_delay,Coordination delay,0.3,1,economic-time:coordination_delay-x30-r001,true,,complete,164,72,236,236,406,24,24,144,46,49,17,17,536,2.136,0.438,0.032,6.215,0,4,0,0,0,26,0
coordination_delay-x30-r002,coordination_delay,Coordination delay,0.3,2,economic-time:coordination_delay-x30-r002,true,,complete,188,56,244,244,417,24,24,144,37,54,19,19,534,1.836,0.491,0.036,6.403,0,2,0,0,0,35,0
coordination_delay-x30-r003,coordination_delay,Coordination delay,0.3,3,economic-time:coordination_delay-x30-r003,true,,complete,161,51,212,212,373,24,24,144,31,51,19,19,525,1.887,0.505,0.036,5.621,0,3,0,0,0,19,0
coordination_delay-x30-r004,coordination_delay,Coordination delay,0.3,4,economic-time:coordination_delay-x30-r004,true,,complete,158,66,224,224,395,24,24,144,47,48,19,19,538,2.357,0.421,0.035,6.293,0,3,0,0,0,23,0
coordination_delay-x30-r005,coordination_delay,Coordination delay,0.3,5,economic-time:coordination_delay-x30-r005,true,,complete,157,64,221,221,392,24,24,144,56,45,16,16,541,2.606,0.385,0.03,6.33,0,3,0,0,0,31,0
coordination_delay-x30-r006,coordination_delay,Coordination delay,0.3,6,economic-time:coordination_delay-x30-r006,true,,complete,157,57,214,214,383,24,24,144,38,53,16,16,531,2.019,0.495,0.03,6.043,0,2,0,0,0,35,0
coordination_delay-x30-r007,coordination_delay,Coordination delay,0.3,7,economic-time:coordination_delay-x30-r007,true,,complete,141,75,216,216,389,24,24,144,44,51,18,18,537,2.296,0.451,0.034,5.731,0,2,0,0,0,29,0
coordination_delay-x30-r008,coordination_delay,Coordination delay,0.3,8,economic-time:coordination_delay-x30-r008,true,,complete,179,88,267,267,447,24,24,144,37,57,20,20,538,1.708,0.5,0.037,6.438,0,3,0,0,0,31,0
coordination_delay-x30-r009,coordination_delay,Coordination delay,0.3,9,economic-time:coordination_delay-x30-r009,true,,complete,176,55,231,231,399,24,24,144,43,49,18,18,534,2.113,0.445,0.034,6.325,0,2,0,0,0,31,0
coordination_delay-x30-r010,coordination_delay,Coordination delay,0.3,10,economic-time:coordination_delay-x30-r010,true,,complete,161,88,249,249,436,24,24,144,64,45,24,24,557,2.827,0.338,0.043,6.183,0,3,0,0,0,36,0
coordination_delay-x30-r011,coordination_delay,Coordination delay,0.3,11,economic-time:coordination_delay-x30-r011,true,,complete,168,48,216,216,381,24,24,144,43,48,17,17,532,2.222,0.444,0.032,6.342,0,2,0,0,0,34,0
coordination_delay-x30-r012,coordination_delay,Coordination delay,0.3,12,economic-time:coordination_delay-x30-r012,true,,complete,172,86,258,258,441,24,24,144,47,57,13,13,541,1.86,0.487,0.024,6.158,0,3,0,0,0,36,0
coordination_delay-x35-r001,coordination_delay,Coordination delay,0.35,1,economic-time:coordination_delay-x35-r001,true,,complete,156,56,212,212,376,24,24,144,44,48,15,15,531,2.226,0.449,0.028,5.867,0,2,0,0,0,26,0
coordination_delay-x35-r002,coordination_delay,Coordination delay,0.35,2,economic-time:coordination_delay-x35-r002,true,,complete,159,51,210,210,374,24,24,144,38,51,15,15,528,2.019,0.49,0.028,6.304,0,2,0,0,0,22,0
coordination_delay-x35-r003,coordination_delay,Coordination delay,0.35,3,economic-time:coordination_delay-x35-r003,true,,complete,165,41,206,206,358,24,24,144,37,47,12,12,520,1.903,0.49,0.023,6.108,0,2,0,0,0,32,0
coordination_delay-x35-r004,coordination_delay,Coordination delay,0.35,4,economic-time:coordination_delay-x35-r004,true,,complete,153,64,217,217,381,24,24,144,48,43,21,21,536,2.544,0.384,0.039,5.988,0,3,0,0,0,28,0
coordination_delay-x35-r005,coordination_delay,Coordination delay,0.35,5,economic-time:coordination_delay-x35-r005,true,,complete,179,58,237,237,403,24,24,144,50,46,15,15,535,2.194,0.414,0.028,6.42,0,3,0,0,0,35,0
coordination_delay-x35-r006,coordination_delay,Coordination delay,0.35,6,economic-time:coordination_delay-x35-r006,true,,complete,180,89,269,269,444,24,24,144,40,55,16,16,535,1.665,0.495,0.03,6.042,0,3,0,0,0,44,0
coordination_delay-x35-r007,coordination_delay,Coordination delay,0.35,7,economic-time:coordination_delay-x35-r007,true,,complete,209,88,297,297,470,24,24,144,45,49,21,21,539,1.778,0.426,0.039,5.902,0,2,0,0,0,46,0
coordination_delay-x35-r008,coordination_delay,Coordination delay,0.35,8,economic-time:coordination_delay-x35-r008,true,,complete,171,52,223,223,380,24,24,144,40,48,12,12,524,1.865,0.48,0.023,6.118,0,4,0,0,0,36,0
coordination_delay-x35-r009,coordination_delay,Coordination delay,0.35,9,economic-time:coordination_delay-x35-r009,true,,complete,190,51,241,241,398,24,24,144,54,39,16,16,533,2.324,0.358,0.03,6.116,0,2,0,0,0,38,0
coordination_delay-x35-r010,coordination_delay,Coordination delay,0.35,10,economic-time:coordination_delay-x35-r010,true,,complete,153,63,216,216,377,24,24,144,43,46,17,17,530,2.222,0.434,0.032,5.75,0,3,0,0,0,36,0
coordination_delay-x35-r011,coordination_delay,Coordination delay,0.35,11,economic-time:coordination_delay-x35-r011,true,,complete,179,63,242,242,409,24,24,144,39,51,17,17,531,1.851,0.477,0.032,6.181,0,3,0,0,0,43,0
coordination_delay-x35-r012,coordination_delay,Coordination delay,0.35,12,economic-time:coordination_delay-x35-r012,true,,complete,154,76,230,230,401,24,24,144,43,50,19,19,536,2.157,0.446,0.035,6.231,0,3,0,0,0,31,0
coordination_delay-x40-r001,coordination_delay,Coordination delay,0.4,1,economic-time:coordination_delay-x40-r001,true,,complete,151,41,192,192,350,24,24,144,45,46,12,12,527,2.375,0.447,0.023,5.877,0,2,0,0,0,22,0
coordination_delay-x40-r002,coordination_delay,Coordination delay,0.4,2,economic-time:coordination_delay-x40-r002,true,,complete,175,74,249,249,417,24,24,144,35,52,20,20,531,1.767,0.486,0.038,6.408,0,3,0,0,0,46,0
coordination_delay-x40-r003,coordination_delay,Coordination delay,0.4,3,economic-time:coordination_delay-x40-r003,true,,complete,166,55,221,221,387,24,24,144,32,54,17,17,527,1.774,0.524,0.032,5.877,0,3,0,0,0,40,0
coordination_delay-x40-r004,coordination_delay,Coordination delay,0.4,4,economic-time:coordination_delay-x40-r004,true,,complete,159,62,221,221,386,24,24,144,36,51,18,18,529,1.955,0.486,0.034,5.857,0,3,0,0,0,38,0
coordination_delay-x40-r005,coordination_delay,Coordination delay,0.4,5,economic-time:coordination_delay-x40-r005,true,,complete,163,59,222,222,395,24,24,144,39,53,19,19,535,2.09,0.477,0.036,5.878,0,3,0,0,0,25,0
coordination_delay-x40-r006,coordination_delay,Coordination delay,0.4,6,economic-time:coordination_delay-x40-r006,true,,complete,142,61,203,203,361,24,24,144,50,41,17,17,532,2.64,0.38,0.032,6.325,0,2,0,0,0,37,0
coordination_delay-x40-r007,coordination_delay,Coordination delay,0.4,7,economic-time:coordination_delay-x40-r007,true,,complete,159,66,225,225,385,24,24,144,47,45,14,14,530,2.169,0.425,0.026,6.013,0,2,0,0,0,46,0
coordination_delay-x40-r008,coordination_delay,Coordination delay,0.4,8,economic-time:coordination_delay-x40-r008,true,,complete,130,77,207,207,371,24,24,144,72,32,19,19,547,3.517,0.26,0.035,5.935,0,3,0,0,0,27,0
coordination_delay-x40-r009,coordination_delay,Coordination delay,0.4,9,economic-time:coordination_delay-x40-r009,true,,complete,164,54,218,218,383,24,24,144,49,44,19,19,536,2.495,0.393,0.035,6.25,0,2,0,0,0,36,0
coordination_delay-x40-r010,coordination_delay,Coordination delay,0.4,10,economic-time:coordination_delay-x40-r010,true,,complete,214,89,303,303,486,24,24,144,45,51,27,27,547,1.901,0.415,0.049,6.364,0,3,0,0,0,64,0
coordination_delay-x40-r011,coordination_delay,Coordination delay,0.4,11,economic-time:coordination_delay-x40-r011,true,,complete,207,78,285,285,467,24,24,144,42,53,25,25,544,1.881,0.442,0.046,5.976,0,3,0,0,0,53,0
coordination_delay-x40-r012,coordination_delay,Coordination delay,0.4,12,economic-time:coordination_delay-x40-r012,true,,complete,180,69,249,249,424,24,24,144,39,52,23,23,538,1.992,0.456,0.043,6.474,0,3,0,0,0,43,0
coordination_delay-x45-r001,coordination_delay,Coordination delay,0.45,1,economic-time:coordination_delay-x45-r001,true,,complete,166,72,238,238,404,24,24,144,44,49,15,15,532,1.983,0.454,0.028,6.24,0,3,0,0,0,55,0
coordination_delay-x45-r002,coordination_delay,Coordination delay,0.45,2,economic-time:coordination_delay-x45-r002,true,,complete,176,112,288,288,467,24,24,144,45,49,27,27,545,2,0.405,0.05,6.102,0,3,0,0,0,68,0
coordination_delay-x45-r003,coordination_delay,Coordination delay,0.45,3,economic-time:coordination_delay-x45-r003,true,,complete,158,76,234,234,395,24,24,144,51,44,13,13,532,2.188,0.407,0.024,5.85,0,2,0,0,0,48,0
coordination_delay-x45-r004,coordination_delay,Coordination delay,0.45,4,economic-time:coordination_delay-x45-r004,true,,complete,178,65,243,243,403,24,24,144,29,53,16,16,522,1.481,0.541,0.031,6.131,0,2,0,0,0,47,0
coordination_delay-x45-r005,coordination_delay,Coordination delay,0.45,5,economic-time:coordination_delay-x45-r005,true,,complete,149,56,205,205,366,24,24,144,53,39,21,21,537,2.888,0.345,0.039,5.722,0,2,0,0,0,40,0
coordination_delay-x45-r006,coordination_delay,Coordination delay,0.45,6,economic-time:coordination_delay-x45-r006,true,,complete,169,111,280,280,460,24,24,144,62,42,25,25,553,2.486,0.326,0.045,6.282,0,3,0,0,0,61,0
coordination_delay-x45-r007,coordination_delay,Coordination delay,0.45,7,economic-time:coordination_delay-x45-r007,true,,complete,168,81,249,249,420,24,24,144,42,51,18,18,535,1.928,0.459,0.034,6.697,0,2,0,0,0,51,0
coordination_delay-x45-r008,coordination_delay,Coordination delay,0.45,8,economic-time:coordination_delay-x45-r008,true,,complete,169,86,255,255,423,24,24,144,43,48,20,20,535,1.976,0.432,0.037,5.924,0,3,0,0,0,57,0
coordination_delay-x45-r009,coordination_delay,Coordination delay,0.45,9,economic-time:coordination_delay-x45-r009,true,,complete,181,80,261,261,433,24,24,144,49,47,20,20,540,2.115,0.405,0.037,6.094,0,3,0,0,0,53,0
coordination_delay-x45-r010,coordination_delay,Coordination delay,0.45,10,economic-time:coordination_delay-x45-r010,true,,complete,173,72,245,245,411,24,24,144,56,42,17,17,539,2.384,0.365,0.032,6.236,0,3,0,0,0,53,0
